ProductID,ProductName,Category,SubCategory,UnitPrice,UnitsInStock,UnitsOnOrder,Discontinued,SupplierID
101,Ноутбук Dell XPS 13,Электроника,Ноутбуки,1250.00,50,10,0,1
102,Беспроводная мышь Logitech,Электроника,Мыши,25.00,150,20,0,2
103,Клавиатура Механическая RGB,Электроника,Клавиатуры,100.00,75,15,0,1
104,Монитор 27" Изогнутый,Электроника,Мониторы,350.00,40,5,0,3
105,Веб-камера 1080p HD,Электроника,Веб-камеры,60.00,80,10,0,2
106,Наушники с шумоподавлением,Электроника,Наушники,200.00,60,12,0,3
107,Планшет Samsung Galaxy,Электроника,Планшеты,300.00,30,5,0,1
108,Смарт-часы Apple Watch,Электроника,Смарт-часы,400.00,45,8,0,2
109,Принтер струйный Canon,Электроника,Принтеры,150.00,25,3,0,3
110,Колонка Bluetooth JBL,Электроника,Колонки,80.00,100,18,0,1
111,Коврик для мыши игровой,Электроника,Аксессуары,15.00,200,30,0,2
112,VR-гарнитура Oculus Quest,Электроника,VR,350.00,15,2,0,3
113,Портативный SSD 1ТБ,Электроника,Накопители,120.00,90,15,0,1
114,Видеокарта NVIDIA RTX,Электроника,Видеокарты,500.00,35,7,0,2
115,Внешний жесткий диск 2ТБ,Электроника,Накопители,90.00,65,10,0,3
116,USB-флешка 64ГБ,Электроника,Накопители,10.00,300,50,0,1
117,Телевизор 65" OLED LG,Электроника,Телевизоры,1800.00,10,1,0,2
118,Беспроводное зарядное устройство,Электроника,Аксессуары,20.00,120,25,0,3
119,Проектор портативный,Электроника,Проекторы,250.00,20,4,0,1
120,Док-станция USB-C,Электроника,Аксессуары,70.00,55,9,0,2
201,Футболка Хлопок Синяя,Одежда,Футболки,20.00,200,30,0,4
202,Джинсы Деним Slim Fit,Одежда,Брюки,60.00,100,15,0,5
203,Носки Шерстяная Смесь,Одежда,Носки,12.00,300,40,0,4
204,Шапка Зимняя Вязаная,Одежда,Шапки,25.00,150,20,0,5
205,Шарф Шелковый Узорчатый,Одежда,Аксессуары,40.00,120,18,0,4
206,Перчатки Кожаные Водительские,Одежда,Аксессуары,50.00,80,12,0,5
207,Ремень Кожаный Пряжка,Одежда,Аксессуары,35.00,90,15,0,4
208,Платье Летнее Цветочное,Одежда,Платья,70.00,70,10,0,5
209,Шорты Повседневные Хаки,Одежда,Брюки,30.00,180,25,0,4
210,Юбка Миди Плиссированная,Одежда,Брюки,45.00,110,17,0,5
211,Леггинсы Йога Высокая Талия,Одежда,Брюки,25.00,250,35,0,4
212,Купальник Слитный,Одежда,Купальники,55.00,60,8,0,5
213,Куртка Легкая Дождевик,Одежда,Верхняя одежда,80.00,75,11,0,4
214,Пижама Шелковый Комплект,Одежда,Пижамы,75.00,50,7,0,5
215,Кардиган Кашемировый,Одежда,Свитера,90.00,40,6,0,4
216,Легинсы Тренировочные,Одежда,Брюки,35.00,220,32,0,5
217,Колготки Прозрачные Черные,Одежда,Чулки,18.00,280,38,0,4
218,Плавки Пляжные,Одежда,Купальники,40.00,95,14,0,5
219,Майка Борцовка,Одежда,Топы,15.00,350,45,0,4
220,Спортивный Бюстгальтер,Одежда,Активная одежда,30.00,160,22,0,5
301,Кресло офисное эргономичное,Мебель,Офис,300.00,30,5,0,6
302,Книжный шкаф деревянный,Мебель,Хранение,180.00,25,3,0,7
303,Настольная лампа светодиодная,Мебель,Освещение,30.00,150,20,0,6
304,Шкаф для документов металлический,Мебель,Офис,120.00,40,7,0,7
305,Вешалка напольная,Мебель,Прихожая,75.00,50,8,0,6
306,Журнальный столик со стеклом,Мебель,Гостиная,250.00,20,2,0,7
307,Тумба под телевизор белая,Мебель,Гостиная,200.00,35,5,0,6
308,Тумбочка прикроватная,Мебель,Спальня,100.00,70,12,0,7
